dataset,task,model,feature_set,metric,fold,value,n_features_added
churn,classification,xgboost,llm_llama-3.3__zero_shot,accuracy,4,0.7961647727272727,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,f1,0,0.5872093023255814,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,f1,1,0.5882352941176471,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,f1,2,0.5880640465793304,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,f1,3,0.5238095238095238,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,f1,4,0.5697151424287856,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,roc_auc,0,0.8460513058978533,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,roc_auc,1,0.8238342504327159,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,roc_auc,2,0.840255496137849,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,roc_auc,3,0.8157956767818058,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,roc_auc,4,0.8365350800070336,6
churn,classification,logreg,llm_qwen-2.5__zero_shot,accuracy,0,0.8126330731014905,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,accuracy,1,0.8133427963094393,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,accuracy,2,0.8097941802696949,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,accuracy,3,0.7933238636363636,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,accuracy,4,0.8018465909090909,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,f1,0,0.6083086053412463,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,f1,1,0.6068759342301944,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,f1,2,0.5975975975975976,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,f1,3,0.5584218512898331,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,f1,4,0.5804511278195489,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,roc_auc,0,0.8585303159471958,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,roc_auc,1,0.8475444986953938,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,roc_auc,2,0.8610090676586841,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,roc_auc,3,0.8317921021616091,7
churn,classification,logreg,llm_qwen-2.5__zero_shot,roc_auc,4,0.840812120522554,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,accuracy,0,0.7977288857345636,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,accuracy,1,0.8062455642299503,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,accuracy,2,0.7970191625266146,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,accuracy,3,0.7819602272727273,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,accuracy,4,0.7798295454545454,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,f1,0,0.5777777777777777,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,f1,1,0.5931445603576752,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,f1,2,0.56797583081571,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,f1,3,0.5255023183925811,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,f1,4,0.5171339563862928,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,roc_auc,0,0.8391976026247125,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,roc_auc,1,0.8199811413366401,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,roc_auc,2,0.8399751995659925,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,roc_auc,3,0.8089870614290711,7
churn,classification,random_forest,llm_qwen-2.5__zero_shot,roc_auc,4,0.8200733871885311,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,accuracy,0,0.8090844570617459,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,accuracy,1,0.7885024840312278,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,accuracy,2,0.7984386089425124,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,accuracy,3,0.7791193181818182,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,accuracy,4,0.7954545454545454,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,f1,0,0.6061493411420205,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,f1,1,0.5802816901408451,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,f1,2,0.5811209439528023,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,f1,3,0.5446559297218155,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,f1,4,0.5701492537313433,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,roc_auc,0,0.8494574905060839,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,roc_auc,1,0.8255573639205352,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,roc_auc,2,0.8436771810173344,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,roc_auc,3,0.8196746577560191,7
churn,classification,xgboost,llm_qwen-2.5__zero_shot,roc_auc,4,0.8304673196867985,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,accuracy,0,0.8119233498935415,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,accuracy,1,0.8055358410220014,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,accuracy,2,0.8112136266855926,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,accuracy,3,0.7933238636363636,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,accuracy,4,0.8011363636363636,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,f1,0,0.6108663729809104,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,f1,1,0.5982404692082112,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,f1,2,0.6053412462908012,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,f1,3,0.5663189269746647,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,f1,4,0.5808383233532934,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,roc_auc,0,0.8613255315301351,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,roc_auc,1,0.8466299826913637,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,roc_auc,2,0.8613009894339818,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,roc_auc,3,0.8334343552084548,7
churn,classification,logreg,llm_gpt-4o-mini__with_stats,roc_auc,4,0.8397467392091353,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,accuracy,0,0.7899219304471257,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,accuracy,1,0.7977288857345636,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,accuracy,2,0.7963094393186657,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,accuracy,3,0.7862215909090909,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,accuracy,4,0.7805397727272727,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,f1,0,0.5659824046920822,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,f1,1,0.5790251107828656,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,f1,2,0.5710014947683109,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,f1,3,0.5404580152671755,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,f1,4,0.5296803652968036,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,roc_auc,0,0.8373336950063293,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,roc_auc,1,0.8206592782040352,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,roc_auc,2,0.8357655842310574,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,roc_auc,3,0.8087707710041316,7
churn,classification,random_forest,llm_gpt-4o-mini__with_stats,roc_auc,4,0.8198833252309188,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,accuracy,0,0.8034066713981547,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,accuracy,1,0.7849538679914834,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,accuracy,2,0.8034066713981547,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,accuracy,3,0.7705965909090909,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,accuracy,4,0.7982954545454546,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,f1,0,0.5956204379562043,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,f1,1,0.5677603423680456,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,f1,2,0.5991316931982634,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,f1,3,0.5312046444121916,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,f1,4,0.5798816568047337,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,roc_auc,0,0.8472706605698933,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,roc_auc,1,0.8209770337647577,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,roc_auc,2,0.8411015526105039,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,roc_auc,3,0.8139474945279818,7
churn,classification,xgboost,llm_gpt-4o-mini__with_stats,roc_auc,4,0.8332872185272913,7
churn,classification,logreg,llm_claude-sonnet__with_stats,accuracy,0,0.8176011355571328,7
churn,classification,logreg,llm_claude-sonnet__with_stats,accuracy,1,0.8034066713981547,7
churn,classification,logreg,llm_claude-sonnet__with_stats,accuracy,2,0.8062455642299503,7
churn,classification,logreg,llm_claude-sonnet__with_stats,accuracy,3,0.7947443181818182,7
churn,classification,logreg,llm_claude-sonnet__with_stats,accuracy,4,0.8004261363636364,7
churn,classification,logreg,llm_claude-sonnet__with_stats,f1,0,0.6158445440956651,7
churn,classification,logreg,llm_claude-sonnet__with_stats,f1,1,0.587183308494784,7
churn,classification,logreg,llm_claude-sonnet__with_stats,f1,2,0.5869894099848714,7
churn,classification,logreg,llm_claude-sonnet__with_stats,f1,3,0.5667166416791605,7
churn,classification,logreg,llm_claude-sonnet__with_stats,f1,4,0.5774436090225564,7
churn,classification,logreg,llm_claude-sonnet__with_stats,roc_auc,0,0.860049342530161,7
churn,classification,logreg,llm_claude-sonnet__with_stats,roc_auc,1,0.8452582086853188,7
churn,classification,logreg,llm_claude-sonnet__with_stats,roc_auc,2,0.858926864553463,7
churn,classification,logreg,llm_claude-sonnet__with_stats,roc_auc,3,0.8308155573687687,7
churn,classification,logreg,llm_claude-sonnet__with_stats,roc_auc,4,0.8398320731492879,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,accuracy,0,0.7998580553584103,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,accuracy,1,0.7927608232789212,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,accuracy,2,0.7970191625266146,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,accuracy,3,0.7833806818181818,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,accuracy,4,0.7848011363636364,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,f1,0,0.5803571428571429,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,f1,1,0.5718475073313783,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,f1,2,0.5692771084337349,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,f1,3,0.5285935085007728,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,f1,4,0.5402124430955993,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,roc_auc,0,0.8328140742462992,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,roc_auc,1,0.8212056627657651,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,roc_auc,2,0.8353328683251956,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,roc_auc,3,0.807528720001036,7
churn,classification,random_forest,llm_claude-sonnet__with_stats,roc_auc,4,0.8170181735433756,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,accuracy,0,0.8005677785663591,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,accuracy,1,0.7877927608232789,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,accuracy,2,0.7920511000709723,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,accuracy,3,0.7727272727272727,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,accuracy,4,0.7933238636363636,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,f1,0,0.5897810218978102,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,f1,1,0.5746799431009957,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,f1,2,0.5722627737226277,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,f1,3,0.5252225519287834,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,f1,4,0.5650224215246636,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,roc_auc,0,0.848510682270273,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,roc_auc,1,0.8239569609134826,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,roc_auc,2,0.839831822056886,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,roc_auc,3,0.8179274973773167,7
churn,classification,xgboost,llm_claude-sonnet__with_stats,roc_auc,4,0.8313814271972196,7
churn,classification,logreg,llm_gemini-flash__with_stats,accuracy,0,0.8076650106458482,7
churn,classification,logreg,llm_gemini-flash__with_stats,accuracy,1,0.8097941802696949,7
churn,classification,logreg,llm_gemini-flash__with_stats,accuracy,2,0.8183108587650816,7
churn,classification,logreg,llm_gemini-flash__with_stats,accuracy,3,0.7940340909090909,7
churn,classification,logreg,llm_gemini-flash__with_stats,accuracy,4,0.7947443181818182,7
churn,classification,logreg,llm_gemini-flash__with_stats,f1,0,0.6123032904148784,7
churn,classification,logreg,llm_gemini-flash__with_stats,f1,1,0.6138328530259366,7
churn,classification,logreg,llm_gemini-flash__with_stats,f1,2,0.6289855072463768,7
churn,classification,logreg,llm_gemini-flash__with_stats,f1,3,0.5671641791044776,7
churn,classification,logreg,llm_gemini-flash__with_stats,f1,4,0.5743740795287187,7
churn,classification,logreg,llm_gemini-flash__with_stats,roc_auc,0,0.8539577359270454,7
churn,classification,logreg,llm_gemini-flash__with_stats,roc_auc,1,0.8458782195355087,7
churn,classification,logreg,llm_gemini-flash__with_stats,roc_auc,2,0.8633082745614715,7
churn,classification,logreg,llm_gemini-flash__with_stats,roc_auc,3,0.8258162697025034,7
churn,classification,logreg,llm_gemini-flash__with_stats,roc_auc,4,0.8365816257925712,7
churn,classification,random_forest,llm_gemini-flash__with_stats,accuracy,0,0.8034066713981547,7
churn,classification,random_forest,llm_gemini-flash__with_stats,accuracy,1,0.794889992902768,7
churn,classification,random_forest,llm_gemini-flash__with_stats,accuracy,2,0.794180269694819,7
churn,classification,random_forest,llm_gemini-flash__with_stats,accuracy,3,0.7791193181818182,7
churn,classification,random_forest,llm_gemini-flash__with_stats,accuracy,4,0.7848011363636364,7
churn,classification,random_forest,llm_gemini-flash__with_stats,f1,0,0.5944363103953147,7
churn,classification,random_forest,llm_gemini-flash__with_stats,f1,1,0.5756240822320118,7
churn,classification,random_forest,llm_gemini-flash__with_stats,f1,2,0.5592705167173252,7
churn,classification,random_forest,llm_gemini-flash__with_stats,f1,3,0.522273425499232,7
churn,classification,random_forest,llm_gemini-flash__with_stats,f1,4,0.5345622119815668,7
churn,classification,random_forest,llm_gemini-flash__with_stats,roc_auc,0,0.8400811180862332,7
churn,classification,random_forest,llm_gemini-flash__with_stats,roc_auc,1,0.8226174791392181,7
churn,classification,random_forest,llm_gemini-flash__with_stats,roc_auc,2,0.8406972538686095,7
churn,classification,random_forest,llm_gemini-flash__with_stats,roc_auc,3,0.809207237310746,7
churn,classification,random_forest,llm_gemini-flash__with_stats,roc_auc,4,0.8231841971886346,7
churn,classification,xgboost,llm_gemini-flash__with_stats,accuracy,0,0.794889992902768,7
churn,classification,xgboost,llm_gemini-flash__with_stats,accuracy,1,0.7955997161107168,7
churn,classification,xgboost,llm_gemini-flash__with_stats,accuracy,2,0.7977288857345636,7
churn,classification,xgboost,llm_gemini-flash__with_stats,accuracy,3,0.7705965909090909,7
churn,classification,xgboost,llm_gemini-flash__with_stats,accuracy,4,0.7947443181818182,7
churn,classification,xgboost,llm_gemini-flash__with_stats,f1,0,0.5718518518518518,7
churn,classification,xgboost,llm_gemini-flash__with_stats,f1,1,0.5813953488372093,7
churn,classification,xgboost,llm_gemini-flash__with_stats,f1,2,0.5814977973568282,7
churn,classification,xgboost,llm_gemini-flash__with_stats,f1,3,0.5256975036710719,7
churn,classification,xgboost,llm_gemini-flash__with_stats,f1,4,0.5731166912850812,7
churn,classification,xgboost,llm_gemini-flash__with_stats,roc_auc,0,0.8452375416569791,7
churn,classification,xgboost,llm_gemini-flash__with_stats,roc_auc,1,0.8275543155338552,7
churn,classification,xgboost,llm_gemini-flash__with_stats,roc_auc,2,0.8377199100984267,7
churn,classification,xgboost,llm_gemini-flash__with_stats,roc_auc,3,0.8171620624004351,7
churn,classification,xgboost,llm_gemini-flash__with_stats,roc_auc,4,0.8354283246620259,7
churn,classification,logreg,llm_deepseek-v3__with_stats,accuracy,0,0.8105039034776437,6
churn,classification,logreg,llm_deepseek-v3__with_stats,accuracy,1,0.8041163946061036,6
churn,classification,logreg,llm_deepseek-v3__with_stats,accuracy,2,0.8097941802696949,6
churn,classification,logreg,llm_deepseek-v3__with_stats,accuracy,3,0.7919034090909091,6
churn,classification,logreg,llm_deepseek-v3__with_stats,accuracy,4,0.8011363636363636,6
churn,classification,logreg,llm_deepseek-v3__with_stats,f1,0,0.6079295154185022,6
churn,classification,logreg,llm_deepseek-v3__with_stats,f1,1,0.591715976331361,6
churn,classification,logreg,llm_deepseek-v3__with_stats,f1,2,0.5975975975975976,6
churn,classification,logreg,llm_deepseek-v3__with_stats,f1,3,0.5620328849028401,6
churn,classification,logreg,llm_deepseek-v3__with_stats,f1,4,0.5795795795795796,6
churn,classification,logreg,llm_deepseek-v3__with_stats,roc_auc,0,0.8612428634167765,6
churn,classification,logreg,llm_deepseek-v3__with_stats,roc_auc,1,0.847156991914025,6
churn,classification,logreg,llm_deepseek-v3__with_stats,roc_auc,2,0.8625952620837531,6
churn,classification,logreg,llm_deepseek-v3__with_stats,roc_auc,3,0.8335820025644014,6
churn,classification,logreg,llm_deepseek-v3__with_stats,roc_auc,4,0.8414327309963902,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,accuracy,0,0.7984386089425124,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,accuracy,1,0.7963094393186657,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,accuracy,2,0.7963094393186657,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,accuracy,3,0.7734375,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,accuracy,4,0.7805397727272727,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,f1,0,0.5835777126099707,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,f1,1,0.5735512630014858,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,f1,2,0.5697151424287856,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,f1,3,0.5084745762711864,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,f1,4,0.5339366515837104,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,roc_auc,0,0.8374525304192825,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,roc_auc,1,0.8243573845875636,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,roc_auc,2,0.8428866671833424,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,roc_auc,3,0.808864021965782,6
churn,classification,random_forest,llm_deepseek-v3__with_stats,roc_auc,4,0.8238940204180846,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,accuracy,0,0.8005677785663591,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,accuracy,1,0.7814052519517388,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,accuracy,2,0.8062455642299503,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,accuracy,3,0.7762784090909091,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,accuracy,4,0.7897727272727273,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,f1,0,0.5799701046337817,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,f1,1,0.5649717514124294,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,f1,2,0.5991189427312775,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,f1,3,0.5360824742268041,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,f1,4,0.5634218289085545,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,roc_auc,0,0.8460990984008887,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,roc_auc,1,0.8237748327262393,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,roc_auc,2,0.8378917047715002,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,roc_auc,3,0.8166362305889058,6
churn,classification,xgboost,llm_deepseek-v3__with_stats,roc_auc,4,0.8323808686477933,6
churn,classification,logreg,llm_llama-3.3__with_stats,accuracy,0,0.8140525195173882,7
churn,classification,logreg,llm_llama-3.3__with_stats,accuracy,1,0.8090844570617459,7
churn,classification,logreg,llm_llama-3.3__with_stats,accuracy,2,0.8161816891412349,7
churn,classification,logreg,llm_llama-3.3__with_stats,accuracy,3,0.7961647727272727,7
churn,classification,logreg,llm_llama-3.3__with_stats,accuracy,4,0.7940340909090909,7
churn,classification,logreg,llm_llama-3.3__with_stats,f1,0,0.6191860465116279,7
churn,classification,logreg,llm_llama-3.3__with_stats,f1,1,0.6084425036390102,7
churn,classification,logreg,llm_llama-3.3__with_stats,f1,2,0.6196769456681351,7
churn,classification,logreg,llm_llama-3.3__with_stats,f1,3,0.5697151424287856,7
churn,classification,logreg,llm_llama-3.3__with_stats,f1,4,0.5710059171597633,7
churn,classification,logreg,llm_llama-3.3__with_stats,roc_auc,0,0.8560011883541295,7
churn,classification,logreg,llm_llama-3.3__with_stats,roc_auc,1,0.8445167790436333,7
churn,classification,logreg,llm_llama-3.3__with_stats,roc_auc,2,0.8637241985068073,7
churn,classification,logreg,llm_llama-3.3__with_stats,roc_auc,3,0.8266581186618487,7
churn,classification,logreg,llm_llama-3.3__with_stats,roc_auc,4,0.8372694690677396,7
churn,classification,random_forest,llm_llama-3.3__with_stats,accuracy,0,0.7991483321504613,7
churn,classification,random_forest,llm_llama-3.3__with_stats,accuracy,1,0.7970191625266146,7
churn,classification,random_forest,llm_llama-3.3__with_stats,accuracy,2,0.8005677785663591,7
churn,classification,random_forest,llm_llama-3.3__with_stats,accuracy,3,0.7762784090909091,7
churn,classification,random_forest,llm_llama-3.3__with_stats,accuracy,4,0.7840909090909091,7
churn,classification,random_forest,llm_llama-3.3__with_stats,f1,0,0.5819793205317577,7
churn,classification,random_forest,llm_llama-3.3__with_stats,f1,1,0.5855072463768116,7
churn,classification,random_forest,llm_llama-3.3__with_stats,f1,2,0.5748865355521936,7
churn,classification,random_forest,llm_llama-3.3__with_stats,f1,3,0.5176110260336907,7
churn,classification,random_forest,llm_llama-3.3__with_stats,f1,4,0.5435435435435435,7
churn,classification,random_forest,llm_llama-3.3__with_stats,roc_auc,0,0.840108243560929,7
churn,classification,random_forest,llm_llama-3.3__with_stats,roc_auc,1,0.8225451445400295,7
churn,classification,random_forest,llm_llama-3.3__with_stats,roc_auc,2,0.8386576765093389,7
churn,classification,random_forest,llm_llama-3.3__with_stats,roc_auc,3,0.8078745256504902,7
churn,classification,random_forest,llm_llama-3.3__with_stats,roc_auc,4,0.8256162144829796,7
churn,classification,xgboost,llm_llama-3.3__with_stats,accuracy,0,0.8005677785663591,7
churn,classification,xgboost,llm_llama-3.3__with_stats,accuracy,1,0.7877927608232789,7
churn,classification,xgboost,llm_llama-3.3__with_stats,accuracy,2,0.7977288857345636,7
churn,classification,xgboost,llm_llama-3.3__with_stats,accuracy,3,0.7720170454545454,7
churn,classification,xgboost,llm_llama-3.3__with_stats,accuracy,4,0.7919034090909091,7
churn,classification,xgboost,llm_llama-3.3__with_stats,f1,0,0.5885797950219619,7
churn,classification,xgboost,llm_llama-3.3__with_stats,f1,1,0.5660377358490566,7
churn,classification,xgboost,llm_llama-3.3__with_stats,f1,2,0.5863570391872278,7
churn,classification,xgboost,llm_llama-3.3__with_stats,f1,3,0.5258493353028065,7
churn,classification,xgboost,llm_llama-3.3__with_stats,f1,4,0.5672082717872969,7
churn,classification,xgboost,llm_llama-3.3__with_stats,roc_auc,0,0.844294608488982,7
churn,classification,xgboost,llm_llama-3.3__with_stats,roc_auc,1,0.8241520059934382,7
churn,classification,xgboost,llm_llama-3.3__with_stats,roc_auc,2,0.8402128703918986,7
churn,classification,xgboost,llm_llama-3.3__with_stats,roc_auc,3,0.8171633575526802,7
churn,classification,xgboost,llm_llama-3.3__with_stats,roc_auc,4,0.8312366180866582,7
churn,classification,logreg,llm_qwen-2.5__with_stats,accuracy,0,0.8126330731014905,7
churn,classification,logreg,llm_qwen-2.5__with_stats,accuracy,1,0.8126330731014905,7
churn,classification,logreg,llm_qwen-2.5__with_stats,accuracy,2,0.8105039034776437,7
churn,classification,logreg,llm_qwen-2.5__with_stats,accuracy,3,0.7947443181818182,7
churn,classification,logreg,llm_qwen-2.5__with_stats,accuracy,4,0.8018465909090909,7
churn,classification,logreg,llm_qwen-2.5__with_stats,f1,0,0.6083086053412463,7
churn,classification,logreg,llm_qwen-2.5__with_stats,f1,1,0.6047904191616766,7
churn,classification,logreg,llm_qwen-2.5__with_stats,f1,2,0.5997001499250375,7
churn,classification,logreg,llm_qwen-2.5__with_stats,f1,3,0.5614567526555387,7
churn,classification,logreg,llm_qwen-2.5__with_stats,f1,4,0.5804511278195489,7
churn,classification,logreg,llm_qwen-2.5__with_stats,roc_auc,0,0.8586414012245215,7
churn,classification,logreg,llm_qwen-2.5__with_stats,roc_auc,1,0.8476349169443799,7
churn,classification,logreg,llm_qwen-2.5__with_stats,roc_auc,2,0.8610633186080756,7
churn,classification,logreg,llm_qwen-2.5__with_stats,roc_auc,3,0.8318775822097886,7
churn,classification,logreg,llm_qwen-2.5__with_stats,roc_auc,4,0.8409362426173213,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,accuracy,0,0.8034066713981547,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,accuracy,1,0.7927608232789212,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,accuracy,2,0.7963094393186657,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,accuracy,3,0.7769886363636364,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,accuracy,4,0.7791193181818182,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,f1,0,0.5956204379562043,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,f1,1,0.5743440233236151,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,f1,2,0.5658093797276853,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,f1,3,0.5213414634146342,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,f1,4,0.5237366003062787,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,roc_auc,0,0.8410266346327727,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,roc_auc,1,0.8205972771190163,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,roc_auc,2,0.8381435841793898,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,roc_auc,3,0.808677520042481,7
churn,classification,random_forest,llm_qwen-2.5__with_stats,roc_auc,4,0.8217929953764519,7
churn,classification,xgboost,llm_qwen-2.5__with_stats,accuracy,0,0.8034066713981547,7
churn,classification,xgboost,llm_qwen-2.5__with_stats,accuracy,1,0.7927608232789212,7
churn,classification,xgboost,llm_qwen-2.5__with_stats,accuracy,2,0.794889992902768,7
